URL (For Author or Uniform title) or URI,LC #,VIAF URI,LC NAME/TITLE or VIAF AUTHOR NAME,Location,Century/Dates Active,Begin Date/Birth Year,End Date/Death Year,OLD AUTHOR NAME,LS AUTHOR NAME,PHI AUTHOR NAME,OLD AUTHOR NAME ABBREVIATION,LS AUTHOR NAME ABBREVIATION,A&G AUTHOR NAME ABBREVIATION,WORK TITLE,DATE OF WORK,OLD ABBREVIATED TITLE,LS ABBREVIATED TITLE,A&G ABBREVIATED TITLE,OLD/PHI STANDARD EDITION,WE OWN?,TLL Standard Edition,WE OWN?,LS STANDARD EDITION,WE OWN?,PHI#,STOA#,PERSEUS HAS THIS WORK,Other identifier,Related Work ID,NOTE,URL
https://viaf.org/viaf/71750055,none,71750055,"Abbo Metensis ca. 627 - 643
                           ",France,700 CE,627 CE,643 CE,none,none,none,none,none,none,Epistola ad Desiderium,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0001-stoa001,no,,,Author added due to presence on original STOA list,
https://viaf.org/viaf/317274829,n79-142562,317274829,"Abelard, Peter, 1079-1142",France,1100 CE,1079 CE,1142 CE,none,none,none,none,none,none,Dialogus,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0002-stoa001,no,,,Author added due to presence on original STOA list,
https://viaf.org/viaf/317274829,n79-142562,317274829,"Abelard, Peter, 1079-1142",France,1100 CE,1079 CE,1142 CE,none,none,none,none,none,none,Historia calamitatum,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0002-stoa002,no,,,,
https://viaf.org/viaf/317274829,n79-142562,317274829,"Abelard, Peter, 1079-1142",France,1100 CE,1079 CE,1142 CE,none,none,none,none,none,none,Theologia,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0002-stoa003,no,,,,
https://viaf.org/viaf/317274829,n79-142562,317274829,"Abelard, Peter, 1079-1142",France,1100 CE,1079 CE,1142 CE,none,none,none,none,none,none,Epistulae,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0002-stoa004,yes,,,,
https://viaf.org/viaf/46652645/,nr95-20708,46652645,Ablabius,"Crete, Greece/Istanbul, Turkey",400 CE,?,330 CE,none,none,Ablabius,none,none,none,Epigramma ,330 CE,none,none,none,none,yes,none,n.a.,none,n.a.,2000.1,stoa0003-stoa001,yes,,,,
https://viaf.org/viaf/46652645/,nr95-20708,46652645,Ablabius,"Crete, Greece/Istanbul, Turkey",400 CE,330 CE,330 CE,none,none,Ablabius,none,none,none,Epistula de iure civitatis Orcistenorum,330 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0003-stoa002,no,,,,
https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0104:entry=aburnus-valens-bio-1,none,none,Aburnus Valens,"Sabina, Italy",100 CE-200 CE,,,none,none,,none,none,none,Fideicommisorum,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,none,no,,,,
https://viaf.org/viaf/305392494/,none,305392494,Acholius,"Rome, Italy",300 CE,253 CE,260 CE,none,none,none,none,none,none,Acta,253 CE- 260 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0004-stoa001,yes,,,,
https://viaf.org/viaf/305392494/,none,305392494,Acholius,"Rome, Italy",300 CE,253 CE,260 CE,none,none,none,none,none,none,Vita Alexandri Severi,253 CE- 260 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0004-stoa002,yes,,,,
https://viaf.org/viaf/4905872/,n80-125819,4905872,"Accius, Lucius","Rome, Italy",200 BCE,170 BCE,86 BCE,L. Accius,L. Accius / L. Attius,L. Accius,ACC.,Acc.,none,Poeta/Carmina,140 BCE-80 BCE,ACC. poet. 26 (28) ,none,none,Morel T 1927 (Fragmenta Poetarum Latinorum),no-not in public domain,"FPR, Baehrens (Teubner 1886)",yes,Rib. ,yes-we have scanned,400.1,none,yes,,,,
https://viaf.org/viaf/4905872/,n80-125819,4905872,"Accius, Lucius","Rome, Italy",200 BCE,170 BCE,86 BCE,L. Accius,L. Accius / L. Attius,L. Accius,ACC.,Acc.,none,Praetextae,140 BCE-80 BCE,ACC.  praet. 42 ,none,none,"Ribbeck T 1897 (Scaenicae Romanorum poesis fragmenta, Vol I)",yes,same as OLD,yes,Rib. ,yes-we have scanned,400.2,none,yes,,,,
https://viaf.org/viaf/4905872/,n80-125819,4905872,"Accius, Lucius","Rome, Italy",200 BCE,170 BCE,86 BCE,L. Accius,L. Accius / L. Attius,L. Accius,ACC.,Acc.,none,Tragoediae,140 BCE-80 BCE,ACC. trag. 696,none,none,"Ribbeck T 1897 (Scaenicae Romanorum poesis fragmenta, Vol I)",yes,same as OLD,yes,Rib. ,yes-we have scanned,400.3,none,yes,,,,
https://viaf.org/viaf/56720050/,nr97-44694,56720050,Pseudo-Acro,Unknown,200 CE,100 CE,200 CE,none,none(not in list),none,none,Acro,none,Commentarii in Q. Horatium Flaccum,,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a,yes,,,,
https://viaf.org/viaf/56720050/,nr97-44694,56720050,Pseudo-Acro,Unknown,200 CE,100 CE,200 CE,none,none(not in list),none,none,Acro,none,Commentum in Horati Carmina,,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa001,yes,,,,
https://viaf.org/viaf/56720050/,nr97-44694,56720050,Pseudo-Acro,Unknown,200 CE,100 CE,200 CE,none,none(not in list),none,none,Acro,none,Comment. in Hor. Carm. Saec.,,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa002,yes,,,,
https://viaf.org/viaf/56720050/,nr97-44694,56720050,Pseudo-Acro,Unknown,200 CE,100 CE,200 CE,none,none(not in list),none,none,Acro,none,Commentum in Horati Epodos,,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa003,yes,,,,
https://viaf.org/viaf/56720050/,nr97-44694,56720050,Pseudo-Acro,Unknown,200 CE,100 CE,200 CE,none,none(not in list),none,none,Acro,none,Commentum in Horati Sermones,,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa004,yes,,,,
https://viaf.org/viaf/56720050/,nr97-44694,56720050,Pseudo-Acro,Unknown,200 CE,100 CE,200 CE,none,none(not in list),none,none,Acro,none,Commentum in Horati Epistulas,,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa005,yes,,,,
https://viaf.org/viaf/56720050/,nr97-44694,56720050,Pseudo-Acro,Unknown,200 CE,100 CE,200 CE,none,none(not in list),none,none,Acro,none,Comment. in Hor. Artem Poet.,,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa006,yes,,,,
https://viaf.org/viaf/315536848,none,315536848,"Actorius Naso, Marcus","Rome, Italy",100 BCE?,100 BCE,0 CE,none,none(not in list),none,none,none,none,Historica fragmenta,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0005-stoa001,yes,,,,
https://viaf.org/viaf/117589,n79-148025,117589,"Adalbero Laudunensis, 
947-1030                           ","Laon, France",1100 CE,947 CE,1030 CE,none,none(not in list),none,none,none,none,Carmen ad Rotbertum regem,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0006-stoa001,no,,,Author added due to presence on STOA list,
https://viaf.org/viaf/117589,n79-148025,117589,"Adalbero Laudunensis, 
947-1030                           ","Laon, France",1100 CE,947 CE,1030 CE,none,none(not in list),none,none,none,none,De Summa Fidei,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0006-stoa002,no,,,Author added due to presence on STOA list,
https://viaf.org/viaf/117589,n79-148025,117589,"Adalbero Laudunensis, 
947-1030                           ","Laon, France",1100 CE,947 CE,1030 CE,none,none(not in list),none,none,none,none,Rythmus Satiricus,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0006-stoa003,no,,,Author added due to presence on STOA list,
https://viaf.org/viaf/79068112/,n89-618622,79068112,"Adamnan, Saint, 625?-704","Iona, Scotland",700 CE,625 CE,704 CE,none,none,none,none,none,none,Vita Sanctae Columbae,697 CE-700 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0007-stoa001,no,,,,
https://viaf.org/viaf/79068112/,n89-618622,79068112,"Adamnan, Saint, 625?-704","Iona, Scotland",700 CE,625 CE,704 CE,none,none,none,none,none,none,De Locis Santis,698 CE-704 CE,none,none,none,none,n.a.,Corp. Vind 39,yes,none,yes,none,stoa0007-stoa002,yes,,,,
https://viaf.org/viaf/84483276/,none,84483276,Adeodatus PP. I -618,"Rome, Italy",700 CE,618 CE,618 CE,none,Adeodatus,none,none,none,none,Decretum De Electione Romani Pontifici Deusdedit [Adeusdati],,none,none,none,none,n.a.,Migne 80,yes,none,n.a.,none,stoa0007a-stoa001,yes,,,,
https://viaf.org/viaf/84483276/,none,84483276,Adeodatus PP. I -618,"Rome, Italy",700 CE,618 CE,618 CE,none,Adeodatus,none,none,none,none,Epistola Ad Gordianum Hispaliensem Episcopum,,none,none,none,none,n.a.,Migne 80,yes,none,n.a.,none,stoa0007a-stoa002,yes,,,,
https://viaf.org/viaf/7413288/,n80-051828,7413288,"Addison, Joseph, 1672-1719",England,1700 CE,1672 CE,1719 CE,none,none,none,none,none,none,Opera,,none,none,none,none,n.a.,Migne 80,yes,none,n.a.,none,stoa0008-stoa001,no,,,Part of original STOA LIst,
https://viaf.org/viaf/100190498,nr2001-013413,100190498,"Adso Dervensis, c. 910-992",France,1000 CE,910 CE,992 CE,none,none,none,none,none,none,De ortu et tempore Antichristi,950 CE-992 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0009-stoa001,no,,,,
none,none,,Anonymous,,,,,none,none,none,Act. Triumph,none,none,Acta Triumphalia,,Act. Triumph. 37 (CIL I. p. 50),none,none,"Corpus Inscriptionum Latinarum, Vol I",no-need to obtain,,,none,n.a.,none,stoa0004b-stoa001,no,,,,
https://viaf.org/viaf/15123020,nr95-20709,15123020,"Aedituus, Valerius fl. ca. 100 B.C.","Rome, Italy",200 BCE-100 BCE,150 BCE,50 BCE,Valerius Aedituus,none,Valerius Aedituus,AED.,none,none,Epigrammata,100 BCE,AED. poet. 2. 6 ,none,none,Morel T 1927 (Fragmenta Poetarum Latinorum),no-not in public domain,"FPR, Baehrens (Teubner 1886)",yes,none,n.a.,402.1,stoa0010-stoa001,yes,,,,
https://viaf.org/viaf/175229436,no2002-076658,175229436,Aegritudo Perdicae,Unknown,Unknown,Unknown,Unknown,none,none,none,none,none,none,Aegritudo Perdicae,,none,none,none,none,n.a.,"PLM V, Baehrens",yes,none,n.a.,none,stoa0010a-stoa001,yes,,,,
https://viaf.org/viaf/173499096,none,173499096,Aelius Maurus,"Rome, Italy",200 CE-300 CE,200 CE,300 CE,none,none,none,none,none,none,Fragmenta  ,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0010b-stoa001,yes,,,,
https://viaf.org/viaf/22527549,none,22527549,"Aelius Paetus Catus, Sextus","Rome, Italy",300 BCE-200 BCE,250 BCE,150 BCE,none,none,none,none,none,none,Fragmenta (Tripertita),198 BCE-190 BCE,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0010c-stoa001,yes,,,,
https://viaf.org/viaf/39386818,n79-59105,39386818,"Aelred, of Rievaulx, Saint, 1110-1167
(Aelredus Rievallensis)","Rievaulx, England",1200 CE,1110 CE,1167 CE,none,none,none,none,none,none,De Amicitia,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0011-stoa001,no,,,Added author due to presence on STOA List,
https://viaf.org/viaf/2187365/,no2004-105320,2187365,"Aemilius Asper, 2nd cent.",Unknown,200 CE,160 CE,200 CE,none,none(not in list),Aemilius Asper,none,Asper,D,Commentarii in Terentium Sallustium Vergilium ,160 CE-200 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,1363.1,none,yes,,,,
https://viaf.org/viaf/2187365/,no2004-105320,2187365,"Aemilius Asper, 2nd cent.",Unknown,200 CE,160 CE,200 CE,none,none(not in list),Aemilius Asper,none,Asper,none,Vergilius / Grammaticia Vergiliana,160 CE-200 CE,none,none,none,Teubner Thilo 1902,n.a.,none,n.a.,none,n.a.,1363.2,none,,,,DigILIBLT Text not online yet,
https://viaf.org/viaf/2187365/,no2004-105320,2187365,"Aemilius Asper, 2nd cent.",Unknown,200 CE,160 CE,200 CE,none,none(not in list),Aemilius Asper,none,none,none,Schemata logou olim de figuris factis per genetivum casum,160 CE-200 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,1363.4,none,,,,"Added this for a DigILIBLT text, this is a newly discovered/sourced text",https://digiliblt.lett.unipmn.it/xtf/view?query=;brand=default;docId=dlt000570/dlt000570.xml;
https://viaf.org/viaf/2187365/,no2004-105320,2187365,"Aemilius Asper, 2nd cent.",Unknown,200 CE,160 CE,200 CE,none,none(not in list),Aemilius Asper,none,Asper,none,Ars Grammatica,160 CE-200 CE,none,Asper,none,none,n.a.,Keil (Grammatici Latini),yes," Keil (Grammatici Latini), Putschius (Grammaticae Latinae-1605)",yes-Google has scnned,1363.3,none,yes,,,Crated a PHI identifier for this work. This is Pseudo-Asper in DigLibLT,
https://viaf.org/viaf/24492327/,nr95-28790,24492327,"Aemilius Sura, nach v190‏
  ","Rome, Italy",190 BCE,190 BCE,190 BCE,none,none,Aemilius Sura,AemSura,none,none,De Annis Populi Romani,,none,none,none,none,n.a.,none,n.a.,none,yes,2300.1,none,yes,,,,
none,none,,Aenigmata Merovingicae aetatis,,?,?,?,none,none,none,none,none,none,Versus de Alphabeto,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0011a-stoa001,yes,,,,
https://viaf.org/viaf/214824791/,"n84-208759, n90-704191 (for Aetna)",214824791,Appendix Vergiliana. Aetna,"Rome, Italy",100 CE,30 CE,100 CE,none,Auctor Aetnae (perh. Lucilius Junior),Appendix Vergiliana,none,Auct. Aetn.,none,Aetna,,Aetna 646 ,"Aetn., Lucil. Aetn.",none,Poetae Latini Minores Vollmer T 1930  / OCT 1966,no-not in public domain,Munro 1867,no,Rib. (Vergil Opera),n.a.,692.4,stoa0297-stoa001,yes,,,,
https://viaf.org/viaf/24739090/,n00-24409,24739090,"Afranius, Lucius","Rome, Italy",200 BCE-100 BCE,150 BCE,90 BCE,L. Afranius ,Lucius Afranius,L. Afranius,AFRAN.,Afran.,none,Togatae,,AFRAN. com. 432 ,none,none,"Ribbeck T 1898  (Scaenicae Romanorum poesis fragmenta, Vol II)",yes,same as OLD,yes,Rib.,yes-we have scanned,404.1,none,yes,,,,
https://viaf.org/viaf/25837492/,n00-65329,25837492,"Africanus, Sextus Caecilius, 2nd cent.","Rome, Italy",200 CE,115 CE,172 CE,Sex. Caecilius Africanus,none,none,AFRIC.,none,none,Quaestiones,,AFRIC. dig. 50. 16. 208 ,none,none,"Mommsen-Krueger Berlin 1922 (Corpus iuris civilis, Vol I (Digesta Iustiniani in OLD))",no-need to obtain (have older version),,,none,n.a.,none,stoa0066-stoa001,yes,,2806.2,Caecilius africanus in STOA,
